time,u1,u2,u3,y,z,phi,beta
0.0,10.402980000000001,15.0,8.0,0.0,0.5,0.0,-0.5235988
0.02,10.402980000000001,15.0,1.4571969693283642,-0.010008181,0.5197347,0.018666666,-0.28542942
0.04,10.402980000000001,4.69652734329744,-6.154228517492254,-0.018418467,0.5486363,0.073447466,0.01296404
0.06,10.402980000000001,-15.0,-7.970017996760277,-0.016106514,0.5703757,0.15716362,0.16666755
0.08,10.402980000000001,-15.0,-4.504483667543688,-0.011555481,0.5782512,0.22213316,0.12734443
0.1,10.402980000000001,-15.0,1.3749215541810342,-0.007263035,0.5802445,0.25911465,-0.010710448
0.12,10.402980000000001,-15.0,4.62292339085111,0.0006632437,0.58936954,0.2524297,-0.08769994
0.14,10.402980000000001,12.334004367872204,2.954856186380956,0.010574212,0.6131808,0.19341695,-0.01604142
0.16,10.402980000000001,15.0,-1.63801401957572,0.021737972,0.6478342,0.15941527,0.15839666
0.18,10.402980000000001,15.0,-5.06042090583584,0.03670296,0.68302155,0.16978163,0.31154403
0.2,10.402980000000001,2.3704412273904936,-4.718174777170295,0.053109042,0.7107693,0.23364243,0.35084084
0.22,10.402980000000001,-15.0,-1.3714710317842267,0.068007894,0.7324042,0.3164062,0.28535664
0.24,10.402980000000001,-15.0,1.9126640947859093,0.08431405,0.7550633,0.3628272,0.20618755
0.26,10.402980000000001,-15.0,2.4912381454853385,0.10488632,0.78577185,0.3641478,0.20280415
0.28,10.402980000000001,-2.1198007646058055,0.234071482979662,0.12927395,0.8259743,0.31882513,0.29066232
0.3,10.402980000000001,15.0,-2.669309814586582,0.15705436,0.87048745,0.26722544,0.40835598
0.32,10.402980000000001,15.0,-3.790238793676087,0.1867563,0.9128167,0.26274392,0.47722095
0.34,10.402980000000001,9.697332603037886,-2.453648061214139,0.21583933,0.951028,0.3083697,0.46654424
0.36,10.402980000000001,-15.0,-0.036649081024808516,0.24489428,0.98817056,0.38639808,0.41236883
0.38,10.402980000000001,-15.0,1.3859843562293948,0.2769389,1.0289916,0.4245242,0.38067806
0.4,10.402980000000001,-15.0,0.7840764118216684,0.31351435,1.0764452,0.41895434,0.41045228
0.42,10.402980000000001,0.5203043303294734,-1.1102509439814605,0.35417143,1.1292272,0.37129363,0.48530647
0.44,10.402980000000001,15.0,-2.6032686707873127,0.3976177,1.1831797,0.32798105,0.5537424
0.46,10.402980000000001,15.0,-2.5385899161293617,0.44185707,1.2354107,0.33161053,0.5750009
