time,u1,u2,u3
0.00,6.500,0.000,0.000
0.02,6.550,0.000,0.000
0.04,6.600,0.000,0.000
0.06,6.650,0.000,0.000
0.08,6.700,0.000,0.000
0.10,6.750,0.000,0.000
0.12,6.800,0.000,0.000
0.14,6.850,0.000,0.000
0.16,6.900,0.000,0.000
0.18,6.950,0.000,0.000
0.20,7.000,0.000,0.000
0.22,7.050,0.000,0.000
0.24,7.100,0.000,0.000
0.26,7.150,0.000,0.000
0.28,7.200,0.000,0.000
0.30,7.250,0.000,0.000
0.32,7.300,0.000,0.000
0.34,7.350,0.000,0.000
0.36,7.400,0.000,0.000
0.38,7.450,0.000,0.000
0.40,7.500,0.000,0.000
0.42,7.550,0.000,0.000
0.44,7.600,0.000,0.000
0.46,7.650,0.000,0.000
0.48,7.700,0.000,0.000
0.50,7.750,0.000,0.000
0.52,7.800,0.000,0.000
0.54,7.850,0.000,0.000
0.56,7.900,0.000,0.000
0.58,7.950,0.000,0.000
0.60,8.000,0.000,0.000
0.62,8.050,0.000,0.000
0.64,8.100,0.000,0.000
0.66,8.150,0.000,0.000
0.68,8.200,0.000,0.000
0.70,8.250,0.000,0.000
0.72,8.300,0.000,0.000
0.74,8.350,0.000,0.000
0.76,8.400,0.000,0.000
0.78,8.450,0.000,0.000
0.80,8.500,0.000,0.000
0.82,8.550,0.000,0.000
0.84,8.600,0.000,0.000
0.86,8.650,0.000,0.000
0.88,8.700,0.000,0.000
0.90,8.750,0.000,0.000
0.92,8.800,0.000,0.000
0.94,8.850,0.000,0.000
0.96,8.900,0.000,0.000
0.98,8.950,0.000,0.000
1.00,9.000,0.500,0.000
1.02,9.100,0.700,0.000
1.04,9.200,0.900,0.000
1.06,9.300,1.100,0.000
1.08,9.400,1.300,0.000
1.10,9.500,1.500,0.000
1.12,9.600,1.700,0.000
1.14,9.700,1.900,0.000
1.16,9.800,2.100,0.000
1.18,9.900,2.300,0.000
1.20,10.000,2.500,0.000
1.22,10.100,2.600,0.000
1.24,10.200,2.700,0.000
1.26,10.300,2.800,0.000
1.28,10.400,2.900,0.000
1.30,10.500,3.000,0.000
1.32,10.600,3.000,0.000
1.34,10.700,3.000,0.000
1.36,10.800,3.000,0.000
1.38,10.900,3.000,0.000
1.40,11.000,3.000,0.000
1.42,11.000,2.900,0.000
1.44,11.000,2.800,0.000
1.46,11.000,2.700,0.000
1.48,11.000,2.600,0.000
1.50,11.000,2.500,0.000
1.52,11.000,2.400,0.000
1.54,11.000,2.300,0.000
1.56,11.000,2.200,0.000
1.58,11.000,2.100,0.000
1.60,11.000,2.000,0.000
1.62,11.000,1.900,0.000
1.64,11.000,1.800,0.000
1.66,11.000,1.700,0.000
1.68,11.000,1.600,0.000
1.70,11.000,1.500,0.000
1.72,11.000,1.400,0.000
1.74,11.000,1.300,0.000
1.76,11.000,1.200,0.000
1.78,11.000,1.100,0.000
1.80,11.000,1.000,0.000
1.82,11.000,1.000,0.000
1.84,11.000,1.000,0.000
1.86,11.000,1.000,0.000
1.88,11.000,1.000,0.000
1.90,11.000,1.000,0.000
1.92,11.000,1.000,0.000
