time,u1,u2,u3
0.00,6.500,0.000,0.000
0.02,6.600,0.000,0.000
0.04,6.700,0.000,0.000
0.06,6.800,0.000,0.000
0.08,6.900,0.000,0.000
0.10,7.000,0.000,0.000
0.12,7.100,0.000,0.000
0.14,7.200,0.000,0.000
0.16,7.300,0.000,0.000
0.18,7.400,0.000,0.000
0.20,7.500,0.000,0.000
0.22,7.600,0.000,0.000
0.24,7.700,0.000,0.000
0.26,7.800,0.000,0.000
0.28,7.900,0.000,0.000
0.30,8.000,0.000,0.000
0.32,8.100,0.000,0.000
0.34,8.200,0.000,0.000
0.36,8.300,0.000,0.000
0.38,8.400,0.000,0.000
0.40,8.500,0.000,0.000
0.42,8.600,0.000,0.000
0.44,8.700,0.000,0.000
0.46,8.800,0.000,0.000
0.48,8.900,0.000,0.000
0.50,9.000,-0.100,0.000
0.52,9.100,-0.200,0.000
0.54,9.200,-0.300,0.000
0.56,9.300,-0.400,0.000
0.58,9.400,-0.500,0.000
0.60,9.500,-0.600,0.000
0.62,9.600,-0.700,0.000
0.64,9.700,-0.800,0.000
0.66,9.800,-0.900,0.000
0.68,9.900,-1.000,0.000
0.70,10.000,-1.100,0.000
0.72,10.100,-1.200,0.000
0.74,10.200,-1.300,0.000
0.76,10.300,-1.400,0.000
0.78,10.400,-1.500,0.000
0.80,10.500,-1.600,0.000
0.82,10.600,-1.600,0.000
0.84,10.700,-1.600,0.000
0.86,10.800,-1.600,0.000
0.88,10.900,-1.600,0.000
0.90,11.000,-1.600,0.000
0.92,11.000,-1.600,0.000
0.94,11.000,-1.600,0.000
0.96,11.000,-1.600,0.000
0.98,11.000,-1.600,0.000
1.00,11.000,-1.600,0.000
1.02,11.000,-1.600,0.000
1.04,11.000,-1.600,0.000
1.06,11.000,-1.600,0.000
1.08,11.000,-1.600,0.000
1.10,11.000,-1.600,0.000
1.12,11.000,-1.600,0.000
1.14,11.000,-1.600,0.000
1.16,11.000,-1.600,0.000
1.18,11.000,-1.600,0.000
1.20,11.000,-1.600,0.000
1.22,11.000,-1.600,0.000
1.24,11.000,-1.600,0.000
1.26,11.000,-1.600,0.000
1.28,11.000,-1.600,0.000
1.30,11.000,-1.600,0.000
1.32,11.000,-1.600,0.000
1.34,11.000,-1.600,0.000
1.36,11.000,-1.600,0.000
1.38,11.000,-1.600,0.000
1.40,11.000,-1.600,0.000
1.42,11.000,-1.600,0.000
1.44,11.000,-1.600,0.000
1.46,11.000,-1.600,0.000
1.48,11.000,-1.600,0.000
1.50,11.000,-1.600,0.000
1.52,11.000,-1.600,0.000
1.54,11.000,-1.600,0.000
1.56,11.000,-1.600,0.000
1.58,11.000,-1.600,0.000
1.60,11.000,-1.600,0.000
1.62,11.000,-1.600,0.000
1.64,11.000,-1.600,0.000
1.66,11.000,-1.600,0.000
1.68,11.000,-1.600,0.000
1.70,11.000,-1.600,0.000
1.72,11.000,-1.600,0.000
1.74,11.000,-1.600,0.000
1.76,11.000,-1.600,0.000
1.78,11.000,-1.600,0.000
1.80,11.000,-1.600,0.000
1.82,11.000,-1.600,0.000
1.84,11.000,-1.600,0.000
1.86,11.000,-1.600,0.000
1.88,11.000,-1.600,0.000
1.90,11.000,-1.600,0.000
1.92,11.000,-1.600,0.000
1.94,11.000,-1.600,0.000
1.96,11.000,-1.600,0.000
1.98,11.000,-1.600,0.000
2.00,11.000,-1.600,0.000
