time,u1,u2,u3
0.00,6.500,0.000,0.000
0.02,6.570,0.000,0.000
0.04,6.640,0.000,0.000
0.06,6.710,0.000,0.000
0.08,6.780,0.000,0.000
0.10,6.850,0.000,0.000
0.12,6.920,0.000,0.000
0.14,6.990,0.000,0.000
0.16,7.060,0.000,0.000
0.18,7.130,0.000,0.000
0.20,7.200,0.000,0.000
0.22,7.270,0.000,0.000
0.24,7.340,0.000,0.000
0.26,7.410,0.000,0.000
0.28,7.480,0.000,0.000
0.30,7.550,0.000,0.000
0.32,7.620,0.000,0.000
0.34,7.690,0.000,0.000
0.36,7.760,0.000,0.000
0.38,7.830,0.000,0.000
0.40,7.900,0.000,0.000
0.42,7.970,0.000,0.000
0.44,8.040,0.000,0.000
0.46,8.110,0.000,0.000
0.48,8.180,0.000,0.000
0.50,8.250,0.000,0.000
0.52,8.320,0.000,0.000
0.54,8.390,0.000,0.000
0.56,8.460,0.000,0.000
0.58,8.530,0.000,0.000
0.60,8.600,0.000,0.000
0.62,8.670,0.000,0.000
0.64,8.740,0.000,0.000
0.66,8.810,0.000,0.000
0.68,8.880,0.000,0.000
0.70,8.950,0.000,0.000
0.72,9.020,0.000,0.000
0.74,9.090,0.000,0.000
0.76,9.160,0.000,0.000
0.78,9.230,0.000,0.000
0.80,9.300,0.000,0.000
0.82,9.370,0.000,0.000
0.84,9.440,0.000,0.000
0.86,9.510,0.000,0.000
0.88,9.580,0.000,0.000
0.90,9.650,0.000,0.000
0.92,9.720,0.000,0.000
0.94,9.790,0.000,0.000
0.96,9.860,0.000,0.000
0.98,9.930,0.000,0.000
1.00,10.000,0.000,0.000
1.02,10.040,-0.060,0.000
1.04,10.080,-0.120,0.000
1.06,10.120,-0.180,0.000
1.08,10.160,-0.240,0.000
1.10,10.200,-0.300,0.000
1.12,10.240,-0.360,0.000
1.14,10.280,-0.420,0.000
1.16,10.320,-0.480,0.000
1.18,10.360,-0.540,0.000
1.20,10.400,-0.600,0.000
1.22,10.440,-0.660,0.000
1.24,10.480,-0.720,0.000
1.26,10.520,-0.780,0.000
1.28,10.560,-0.840,0.000
1.30,10.600,-0.900,0.000
1.32,10.640,-0.960,0.000
1.34,10.680,-1.020,0.000
1.36,10.720,-1.080,0.000
1.38,10.760,-1.140,0.000
1.40,10.800,-1.200,0.000
1.42,10.840,-1.260,0.000
1.44,10.880,-1.320,0.000
1.46,10.920,-1.380,0.000
1.48,10.960,-1.440,0.000
1.50,11.000,-1.500,0.000
1.52,11.000,-1.500,0.000
1.54,11.000,-1.500,0.000
1.56,11.000,-1.500,0.000
1.58,11.000,-1.500,0.000
1.60,11.000,-1.500,0.000
1.62,11.000,-1.500,0.000
1.64,11.000,-1.500,0.000
1.66,11.000,-1.500,0.000
1.68,11.000,-1.500,0.000
1.70,11.000,-1.500,0.000
1.72,11.000,-1.500,0.000
1.74,11.000,-1.500,0.000
1.76,11.000,-1.500,0.000
1.78,11.000,-1.500,0.000
1.80,11.000,-1.500,0.000
1.82,11.000,-1.500,0.000
1.84,11.000,-1.500,0.000
1.86,11.000,-1.500,0.000
1.88,11.000,-1.500,0.000
1.90,11.000,-1.500,0.000
1.92,11.000,-1.500,0.000
1.94,11.000,-1.500,0.000
1.96,11.000,-1.500,0.000
1.98,11.000,-1.500,0.000
2.00,11.000,-1.500,0.000
2.02,11.000,-1.500,0.000
2.04,11.000,-1.500,0.000
2.06,11.000,-1.500,0.000
2.08,11.000,-1.500,0.000
2.10,11.000,-1.500,0.000
2.12,11.000,-1.500,0.000
2.14,11.000,-1.500,0.000
2.16,11.000,-1.500,0.000
2.18,11.000,-1.500,0.000
2.20,11.000,-1.500,0.000
2.22,11.000,-1.500,0.000
2.24,11.000,-1.500,0.000
2.26,11.000,-1.500,0.000
2.28,11.000,-1.500,0.000
2.30,11.000,-1.500,0.000
2.32,11.000,-1.500,0.000
2.34,11.000,-1.500,0.000
2.36,11.000,-1.500,0.000
2.38,11.000,-1.500,0.000
2.40,11.000,-1.500,0.000
2.42,11.000,-1.500,0.000
2.44,11.000,-1.500,0.000
2.46,11.000,-1.500,0.000
2.48,11.000,-1.500,0.000
2.50,11.000,-1.500,0.000
2.52,11.000,-1.500,0.000
2.54,11.000,-1.500,0.000
2.56,11.000,-1.500,0.000
2.58,11.000,-1.500,0.000
2.60,11.000,-1.500,0.000
2.62,11.000,-1.500,0.000
2.64,11.000,-1.500,0.000
2.66,11.000,-1.500,0.000
2.68,11.000,-1.500,0.000
2.70,11.000,-1.500,0.000
2.72,11.000,-1.500,0.000
2.74,11.000,-1.500,0.000
2.76,11.000,-1.500,0.000
2.78,11.000,-1.500,0.000
2.80,11.000,-1.500,0.000
2.82,11.000,-1.500,0.000
2.84,11.000,-1.500,0.000
2.86,11.000,-1.500,0.000
2.88,11.000,-1.500,0.000
2.90,11.000,-1.500,0.000
2.92,11.000,-1.500,0.000
2.94,11.000,-1.500,0.000
2.96,11.000,-1.500,0.000
2.98,11.000,-1.500,0.000
3.00,11.000,-1.500,0.000
