time,u1,u2,u3
0.00,10,0,0
0.02,10,0,0
0.04,10,0,0
0.06,10,0,0
0.08,10,0,0
0.10,10,0,0
0.12,10,0,0
0.14,10,0,0
0.16,10,0,0
0.18,10,0,0
0.20,10,0,0
0.22,10,0,0
0.24,10,0,0
0.26,10,0,0
0.28,10,0,0
0.30,10,0,0
0.32,10,0,0
0.34,10,0,0
0.36,10,0,0
0.38,10,0,0
0.40,10,0,0
0.42,10,0,0
0.44,10,0,0
0.46,10,0,0
0.48,10,0,0
0.50,10,0,0
0.52,10,0,0
0.54,10,0,0
0.56,10,0,0
0.58,10,0,0
0.60,10,0,0
0.62,10,0,0
0.64,10,0,0
0.66,10,0,0
0.68,10,0,0
0.70,10,0,0
0.72,10,0,0
0.74,10,0,0
0.76,10,0,0
0.78,10,0,0
0.80,10,0,0
0.82,10,0,0
0.84,10,0,0
0.86,10,0,0
0.88,10,0,0
0.90,10,0,0
0.92,10,0,0
0.94,10,0,0
0.96,10,0,0
0.98,10,0,0
1.00,10,0,0
1.02,6.455,0,0
1.04,6.455,0,0
1.06,6.455,0,0
1.08,6.455,0,0
1.10,6.455,0,0
1.12,6.455,0,0
1.14,6.455,0,0
1.16,6.455,0,0
1.18,6.455,0,0
1.20,6.455,0,0
1.22,6.455,0,0
1.24,6.455,0,0
1.26,6.455,0,0
1.28,6.455,0,0
1.30,6.455,0,0
1.32,6.455,0,0
1.34,6.455,0,0
1.36,6.455,0,0
1.38,6.455,0,0
1.40,6.455,0,0
1.42,6.455,0,0
1.44,6.455,0,0
1.46,6.455,0,0
1.48,6.455,0,0
1.50,6.455,0,0
1.52,6.455,0,0
1.54,6.455,0,0
1.56,6.455,0,0
1.58,6.455,0,0
1.60,6.455,0,0
1.62,6.455,0,0
1.64,6.455,0,0
1.66,6.455,0,0
1.68,6.455,0,0
1.70,6.455,0,0
1.72,6.455,0,0
1.74,6.455,0,0
1.76,6.455,0,0
1.78,6.455,0,0
1.80,6.455,0,0
1.82,6.455,0,0
1.84,6.455,0,0
1.86,6.455,0,0
1.88,6.455,0,0
1.90,6.455,0,0
1.92,6.455,0,0
1.94,6.455,0,0
1.96,6.455,0,0
1.98,6.455,0,0
2.00,6.455,0,0
2.02,6.455,0,0
2.04,6.455,0,0
2.06,6.455,0,0
2.08,6.455,0,0
2.10,6.455,0,0
2.12,6.455,0,0
2.14,6.455,0,0
2.16,6.455,0,0
2.18,6.455,0,0
2.20,6.455,0,0
2.22,6.455,0,0
