time,u1,u2,u3
0.00,6.500,0.000,0.000
0.02,6.600,0.000,0.000
0.04,6.700,0.000,0.000
0.06,6.800,0.000,0.000
0.08,6.900,0.000,0.000
0.10,7.000,0.000,0.000
0.12,7.100,0.000,0.000
0.14,7.200,0.000,0.000
0.16,7.300,0.000,0.000
0.18,7.400,0.000,0.000
0.20,7.500,0.000,0.000
0.22,7.600,0.000,0.000
0.24,7.700,0.000,0.000
0.26,7.800,0.000,0.000
0.28,7.900,0.000,0.000
0.30,8.000,0.000,0.000
0.32,8.100,0.000,0.000
0.34,8.200,0.000,0.000
0.36,8.300,0.000,0.000
0.38,8.400,0.000,0.000
0.40,8.500,0.000,0.000
0.42,8.600,0.000,0.000
0.44,8.700,0.000,0.000
0.46,8.800,0.000,0.000
0.48,8.900,0.000,0.000
0.50,9.000,0.000,0.000
0.52,9.100,0.000,0.000
0.54,9.200,0.000,0.000
0.56,9.300,0.000,0.000
0.58,9.400,0.000,0.000
0.60,9.500,0.000,0.000
0.62,9.600,0.000,0.000
0.64,9.700,0.000,0.000
0.66,9.800,0.000,0.000
0.68,9.900,0.000,0.000
0.70,10.000,0.000,0.000
0.72,10.000,0.000,0.000
0.74,10.000,0.000,0.000
0.76,10.000,0.000,0.000
0.78,10.000,0.000,0.000
0.80,10.000,0.000,0.000
0.82,10.000,0.000,0.000
0.84,10.000,0.000,0.000
0.86,10.000,0.000,0.000
0.88,10.000,0.000,0.000
0.90,10.000,0.000,0.000
0.92,10.000,0.000,0.000
0.94,10.000,0.000,0.000
0.96,10.000,0.000,0.000
0.98,10.000,0.000,0.000
1.00,10.000,0.000,0.000
1.02,9.800,-0.500,0.000
1.04,9.600,-1.000,0.000
1.06,9.400,-1.500,0.000
1.08,9.200,-2.000,0.000
1.10,9.000,-2.500,0.000
1.12,8.800,-3.000,0.000
1.14,8.600,-3.500,0.000
1.16,8.400,-4.000,0.000
1.18,8.200,-4.500,0.000
1.20,8.000,-5.000,0.000
1.22,7.800,-5.500,0.000
1.24,7.600,-6.000,0.000
1.26,7.400,-6.500,0.000
1.28,7.200,-7.000,0.000
1.30,7.000,-7.500,0.000
1.32,6.800,-8.000,0.000
1.34,6.600,-8.500,0.000
1.36,6.400,-9.000,0.000
1.38,6.200,-9.500,0.000
1.40,6.000,-10.000,0.000
1.42,5.800,-10.500,0.000
1.44,5.600,-11.000,0.000
1.46,5.400,-11.500,0.000
1.48,5.200,-12.000,0.000
1.50,5.000,-12.500,0.000
1.52,4.900,-13.000,0.000
1.54,4.800,-13.000,0.000
1.56,4.700,-13.000,0.000
1.58,4.600,-13.000,0.000
1.60,4.500,-13.000,0.000
1.62,4.500,-13.000,0.000
1.64,4.500,-13.000,0.000
1.66,4.500,-13.000,0.000
1.68,4.500,-13.000,0.000
1.70,4.500,-13.000,0.000
1.72,4.500,-13.000,0.000
1.74,4.500,-13.000,0.000
1.76,4.500,-13.000,0.000
1.78,4.500,-13.000,0.000
1.80,4.500,-13.000,0.000
1.82,4.500,-13.000,0.000
1.84,4.500,-13.000,0.000
1.86,4.500,-13.000,0.000
1.88,4.500,-13.000,0.000
1.90,4.500,-13.000,0.000
1.92,4.500,-13.000,0.000
1.94,4.500,-13.000,0.000
1.96,4.500,-13.000,0.000
1.98,4.500,-13.000,0.000
2.00,4.500,-13.000,0.000
2.02,4.500,-13.000,0.000
2.04,4.500,-13.000,0.000
2.06,4.500,-13.000,0.000
2.08,4.500,-13.000,0.000
2.10,4.500,-13.000,0.000
2.12,4.500,-13.000,0.000
2.14,4.500,-13.000,0.000
2.16,4.500,-13.000,0.000
2.18,4.500,-13.000,0.000
2.20,4.500,-13.000,0.000
2.22,4.500,-13.000,0.000
2.24,4.500,-13.000,0.000
2.26,4.500,-13.000,0.000
2.28,4.500,-13.000,0.000
2.30,4.500,-13.000,0.000
2.32,4.500,-13.000,0.000
2.34,4.500,-13.000,0.000
2.36,4.500,-13.000,0.000
2.38,4.500,-13.000,0.000
2.40,4.500,-13.000,0.000
2.42,4.500,-13.000,0.000
2.44,4.500,-13.000,0.000
2.46,4.500,-13.000,0.000
2.48,4.500,-13.000,0.000
2.50,4.500,-13.000,0.000
2.52,4.500,-13.000,0.000
2.54,4.500,-13.000,0.000
2.56,4.500,-13.000,0.000
2.58,4.500,-13.000,0.000
2.60,4.500,-13.000,0.000
2.62,4.500,-13.000,0.000
2.64,4.500,-13.000,0.000
2.66,4.500,-13.000,0.000
2.68,4.500,-13.000,0.000
2.70,4.500,-13.000,0.000
2.72,4.500,-13.000,0.000
2.74,4.500,-13.000,0.000
2.76,4.500,-13.000,0.000
2.78,4.500,-13.000,0.000
2.80,4.500,-13.000,0.000
2.82,4.500,-13.000,0.000
2.84,4.500,-13.000,0.000
2.86,4.500,-13.000,0.000
2.88,4.500,-13.000,0.000
2.90,4.500,-13.000,0.000
2.92,4.500,-13.000,0.000
2.94,4.500,-13.000,0.000
2.96,4.500,-13.000,0.000
2.98,4.500,-13.000,0.000
3.00,4.500,-13.000,0.000
