time,u1,u2,u3
0.0,10,15,8
0.02,10,15,1
0.04,10,5,-6
0.06,10,-15,-8
0.08,10,-15,-5
0.1,10,-15,1
0.12,10,-15,5
0.14,10,12,3
0.16,10,15,-2
0.18,10,15,-5
0.2,10,2,-5
0.22,10,-15,-1
0.24,10,-15,2
0.26,10,-15,2
0.28,10,-2,0
0.3,10,15,-3
0.32,10,15,-4
0.34,10,10,-2
0.36,10,-15,0
0.38,10,-15,1
0.4,10,-15,1
0.42,10,1,-1
0.44,10,15,-3
0.46,10,15,-3
0.48,10,-2,-1
0.5,10,-15,0
0.52,10,-15,1
0.54,10,-12,0
0.56,10,15,-2
0.58,10,15,-2
0.6,10,15,-2
0.62,10,-15,-1
0.64,10,-15,0
0.66,10,-15,0
0.68,10,5,-1
0.7,10,15,-2
0.72,10,15,-2
0.74,10,-8,-1
0.76,10,-15,0
0.78,10,-15,0
0.8,10,-2,-1
0.82,10,15,-1
0.84,9,15,-1
0.86,8,5,-1
0.88,8,-15,-1
0.9,7,-15,0
0.92,6,-15,0
0.94,6,15,0
0.96,5,15,-1
0.98,4,15,-1
1.0,4,-15,0
1.02,4,-15,0
1.04,4,-15,0
1.06,3,8,0
1.08,3,15,0
1.1,3,-15,-1
1.12,3,-15,0
1.14,3,-15,0
1.16,3,-15,0
1.18,3,-15,0
1.2,3,4,0
1.22,3,15,0
1.24,3,15,0
1.26,3,15,0
1.28,3,15,0
1.3,3,15,0
1.32,3,15,0
1.34,3,0,0
1.36,3,-15,0
1.38,4,-15,0
1.4,4,-11,0
1.42,4,15,0
1.44,4,15,0
1.46,4,15,0
1.48,4,-15,0
1.5,4,-15,0
1.52,5,-15,0
1.54,5,7,0
1.56,5,15,0
1.58,5,15,0
1.6,5,-8,0
1.62,5,-15,0
1.64,5,-15,0
1.66,5,3,0
1.68,5,15,0
1.7,5,15,0
1.72,5,-1,0
1.74,5,-15,0
1.76,6,-15,0
1.78,6,-7,0
1.8,6,15,0
1.82,6,15,0
1.84,6,15,0
1.86,6,15,0
1.88,6,15,0
1.9,6,15,0
1.92,6,15,0
1.94,6,15,0
1.96,6,15,0
1.98,6,15,0
