time,u1,u2,u3
0.00,12,12,12
0.02,12,12,12
0.04,12,12,12
0.06,12,12,12
0.08,12,12,12
0.10,12,12,12
0.12,12,12,12
0.14,12,12,12
0.16,12,12,12
0.18,12,12,12
0.20,12,12,12
0.22,12,12,12
0.24,12,12,12
0.26,12,12,12
0.28,12,12,12
0.30,12,12,12
0.32,12,12,12
0.34,12,12,12
0.36,12,12,12
0.38,12,12,12
0.40,12,12,12
0.42,12,12,12
0.44,12,12,12
0.46,12,12,12
0.48,12,12,12
0.50,12,12,12
0.52,12,12,12
0.54,12,12,12
0.56,12,12,12
0.58,12,12,12
0.60,12,12,12
0.62,12,12,12
0.64,12,12,12
0.66,12,12,12
0.68,12,12,12
0.70,12,12,12
0.72,12,12,12
0.74,12,12,12
0.76,12,12,12
0.78,12,12,12
0.80,12,12,12
0.82,12,12,12
0.84,12,12,12
0.86,12,12,12
0.88,12,12,12
0.90,12,12,12
0.92,12,12,12
0.94,12,12,12
0.96,12,12,12
0.98,12,12,12
1.00,10,10,10
