time,u1,u2,u3
0.00,12,12,12
0.02,12,12,12
0.04,12,12,12
0.06,12,12,12
0.08,12,12,12
0.10,12,12,12
0.12,12,12,12
0.14,12,12,12
0.16,12,12,12
0.18,12,12,12
0.20,12,12,12
0.22,12,12,12
0.24,12,12,12
0.26,12,12,12
0.28,12,12,12
0.30,12,12,12
0.32,12,12,12
0.34,12,12,12
0.36,12,12,12
0.38,12,12,12
0.40,12,12,12
0.42,12,12,12
0.44,12,12,12
0.46,12,12,12
0.48,12,12,12
0.50,12,12,12
0.52,12,12,12
0.54,12,12,12
0.56,12,12,12
0.58,12,12,12
0.60,12,12,12
0.62,12,12,12
0.64,12,12,12
0.66,12,12,12
0.68,12,12,12
0.70,12,12,12
0.72,12,12,12
0.74,12,12,12
0.76,12,12,12
0.78,12,12,12
0.80,12,12,12
0.82,12,12,12
0.84,12,12,12
0.86,12,12,12
0.88,12,12,12
0.90,12,12,12
0.92,12,12,12
0.94,12,12,12
0.96,12,12,12
0.98,12,12,12
1.00,10,10,10
1.02,10,10,10
1.04,10,10,10
1.06,10,10,10
1.08,10,10,10
1.10,10,10,10
1.12,10,10,10
1.14,10,10,10
1.16,10,10,10
1.18,10,10,10
1.20,10,10,10
1.22,10,10,10
1.24,10,10,10
1.26,10,10,10
1.28,10,10,10
1.30,10,10,10
1.32,10,10,10
1.34,10,10,10
1.36,10,10,10
1.38,10,10,10
1.40,10,10,10
1.42,10,10,10
1.44,10,10,10
1.46,10,10,10
1.48,10,10,10
1.50,10,10,10
1.52,10,10,10
1.54,10,10,10
1.56,10,10,10
1.58,10,10,10
1.60,10,10,10
1.62,10,10,10
1.64,10,10,10
1.66,10,10,10
1.68,10,10,10
1.70,10,10,10
1.72,10,10,10
1.74,10,10,10
1.76,10,10,10
1.78,10,10,10
1.80,10,10,10
1.82,10,10,10
1.84,10,10,10
1.86,10,10,10
1.88,10,10,10
1.90,10,10,10
1.92,10,10,10
1.94,10,10,10
1.96,10,10,10
1.98,10,10,10
2.00,10,10,10
2.02,10,10,10
2.04,10,10,10
2.06,10,10,10
2.08,10,10,10
2.10,10,10,10
2.12,10,10,10
2.14,10,10,10
2.16,10,10,10
2.18,10,10,10
2.20,10,10,10
2.22,10,10,10
2.24,10,10,10
2.26,10,10,10
2.28,10,10,10
2.30,10,10,10
2.32,10,10,10
2.34,10,10,10
2.36,10,10,10
2.38,10,10,10
2.40,10,10,10
2.42,10,10,10
2.44,10,10,10
2.46,10,10,10
2.48,10,10,10
2.50,10,10,10
2.52,10,10,10
2.54,10,10,10
2.56,10,10,10
2.58,10,10,10
2.60,10,10,10
2.62,10,10,10
2.64,10,10,10
2.66,10,10,10
2.68,10,10,10
2.70,10,10,10
2.72,10,10,10
2.74,10,10,10
2.76,10,10,10
2.78,10,10,10
2.80,10,10,10
2.82,10,10,10
2.84,10,10,10
2.86,10,10,10
2.88,10,10,10
2.90,10,10,10
2.92,10,10,10
2.94,10,10,10
2.96,10,10,10
2.98,10,10,10
3.00,10,10,10
3.02,10,10,10
3.04,10,10,10
3.06,10,10,10
3.08,10,10,10
3.10,10,10,10
3.12,10,10,10
3.14,10,10,10
3.16,10,10,10
3.18,10,10,10
3.20,10,10,10
3.22,10,10,10
3.24,10,10,10
3.26,10,10,10
3.28,10,10,10
3.30,10,10,10
3.32,10,10,10
3.34,10,10,10
3.36,10,10,10
3.38,10,10,10
3.40,10,10,10
3.42,10,10,10
3.44,10,10,10
3.46,10,10,10
3.48,10,10,10
3.50,10,10,10
3.52,10,10,10
3.54,10,10,10
3.56,10,10,10
3.58,10,10,10
3.60,10,10,10
3.62,10,10,10
3.64,10,10,10
3.66,10,10,10
3.68,10,10,10
3.70,10,10,10
3.72,10,10,10
3.74,10,10,10
3.76,10,10,10
3.78,10,10,10
3.80,10,10,10
3.82,10,10,10
3.84,10,10,10
3.86,10,10,10
3.88,10,10,10
3.90,10,10,10
3.92,10,10,10
3.94,10,10,10
3.96,10,10,10
3.98,10,10,10
4.00,10,10,10
4.02,10,10,10
4.04,10,10,10
4.06,10,10,10
4.08,10,10,10
4.10,10,10,10
4.12,10,10,10
4.14,10,10,10
4.16,10,10,10
4.18,10,10,10
4.20,10,10,10
4.22,10,10,10
4.24,10,10,10
4.26,10,10,10
4.28,10,10,10
4.30,10,10,10
4.32,10,10,10
4.34,10,10,10
4.36,10,10,10
4.38,10,10,10
4.40,10,10,10
4.42,10,10,10
4.44,10,10,10
4.46,10,10,10
4.48,10,10,10
4.50,10,10,10
4.52,10,10,10
4.54,10,10,10
4.56,10,10,10
4.58,10,10,10
4.60,10,10,10
4.62,10,10,10
4.64,10,10,10
4.66,10,10,10
4.68,10,10,10
4.70,10,10,10
4.72,10,10,10
4.74,10,10,10
4.76,10,10,10
4.78,10,10,10
4.80,10,10,10
4.82,10,10,10
4.84,10,10,10
4.86,10,10,10
4.88,10,10,10
4.90,10,10,10
4.92,10,10,10
4.94,10,10,10
4.96,10,10,10
4.98,10,10,10
5.00,10,10,10
