ref,name,var,mae,rmse,max_abs,std,percent_within_tol,IAE,ISE,ITAE,sMAPE_percent
L_g = 0.35 m,L_g = 0.25. m,pos_mag,0.040876423782006996,0.056797261754311414,0.14030639584577004,0.03943408324763666,79.34918648310388,0.14306748323702448,0.01129075129975718,0.35006112281603197,
L_g = 0.35 m,L_g = 0.25. m,x,0.03824243235643089,0.05594893109719185,0.13986515998840332,0.05501962155235336,79.34918648310388,0.13384851324750813,0.010955990118214125,0.33327935362733285,3.493678097948062
L_g = 0.35 m,L_g = 0.25. m,z,0.008312195800571178,0.009779879951688785,0.01957046985626243,0.008828654869599538,100.0,0.029092685301999124,0.00033476118154305483,0.057463832465793625,0.5439932624405752
L_g = 0.35 m,L_g = 0.25. m,theta,0.04964189998878195,0.06815325508870443,0.1774506305657692,0.06631123226165196,70.33792240300374,0.17374664996073683,0.016257031627151055,0.42992356218110195,53.48513923741457
L_g = 0.35 m,L_g = 0.25. m,beta,0.024994705282664568,0.029942607441993934,0.07126438617706277,0.02983113646215886,90.98873591989988,0.08748146848932599,0.003137959091488727,0.16878987628730432,6.192395643689126
L_g = 0.35 m,L_g = 0.30. m,pos_mag,0.06705531789610326,0.08543585624309927,0.2234540195553243,0.052942137035107084,43.92991239048811,0.23469361263636143,0.025547499361970333,0.5427283659429748,
L_g = 0.35 m,L_g = 0.30. m,x,0.06335903732374179,0.08406503813780768,0.2232438325881958,0.08401631327430366,45.68210262828536,0.22175663063309625,0.0247342572298887,0.5242573838772769,10.304158782949035
L_g = 0.35 m,L_g = 0.30. m,z,0.01276564463805197,0.015243191755025153,0.027043819427490234,0.014932200605972404,100.0,0.04467975623318189,0.0008132421320816338,0.08367747904334705,0.8243097271807298
L_g = 0.35 m,L_g = 0.30. m,theta,0.0921370000940482,0.12433448284427025,0.35199596161974556,0.12418246542487071,41.80225281602002,0.32247950032916867,0.054106722684532454,0.776116230259545,80.10897593211641
L_g = 0.35 m,L_g = 0.30. m,beta,0.018374505190549423,0.021627723829010258,0.0495489984750747,0.02143118655398998,100.0,0.06431076816692298,0.0016371545330837835,0.11443353595575266,5.4838678622326205
L_g = 0.35 m,L_g = 0.40. m,pos_mag,0.026674215819476207,0.03147063658256049,0.06464519893585242,0.01669991548863646,86.23279098873591,0.09335975536816672,0.003466403384190581,0.20342182472466053,
L_g = 0.35 m,L_g = 0.40. m,x,0.02145442530484835,0.026590227978055474,0.05839884281158447,0.026539771229929485,90.73842302878599,0.07509048856696922,0.0024746407837373742,0.16307812628124607,3.844773200405006
L_g = 0.35 m,L_g = 0.40. m,z,0.013726756032626223,0.01683332239893927,0.031084060668945312,0.012407413682936009,100.0,0.048043646114191776,0.0009917626004532067,0.10736736810278076,0.8877575814664951
L_g = 0.35 m,L_g = 0.40. m,theta,0.026929680645943182,0.032148242032793074,0.07300663169394246,0.03203107649300206,91.48936170212765,0.09425388226080113,0.0036172831302966513,0.2023077046129782,36.662785449395905
L_g = 0.35 m,L_g = 0.40. m,beta,0.031226856449854398,0.03718425120916005,0.09034132957458518,0.03442855006932235,83.22903629536921,0.10929399757449039,0.004839339882950723,0.20843135442320757,6.791377686896475
L_g = 0.35 m,L_g = 0.45. m,pos_mag,0.022709718860995844,0.02586792617223955,0.048583241947577425,0.012386213049474229,100.0,0.07948401601348545,0.0023420236155835255,0.1670258509555878,
L_g = 0.35 m,L_g = 0.45. m,x,0.017897052502723526,0.023283143557103186,0.04793524742126465,0.023201862353557867,100.0,0.06263968375953233,0.0018973667086523646,0.14338754703324927,2.802763632419527
L_g = 0.35 m,L_g = 0.45. m,z,0.009636082995370573,0.011271416528181371,0.020505666732788308,0.011124091030703658,100.0,0.033726290483797,0.00044465690693116063,0.059183927029182,0.6205717526856186
L_g = 0.35 m,L_g = 0.45. m,theta,0.01645307391589628,0.02196786471899021,0.06417940859500137,0.021451442347857955,95.24405506883605,0.05758575870563698,0.001689054781091492,0.1393918615669402,30.31784732227193
L_g = 0.35 m,L_g = 0.45. m,beta,0.027491098225527026,0.03321590254636299,0.06936681270599365,0.027613840818748698,86.4831038798498,0.09621884378934459,0.003861536636893192,0.19463860983194298,5.283072054616281
